situation_depth,situation_height,letter,person_index,depth,height,method,height_precision
220,155,A,1,216.8930003750648,157.14488044479882,WLS-SGBM,98.61620616464593
220,155,B,1,215.00818501756476,153.1520876052808,WLS-SGBM,98.80779845501986
220,160,A,1,214.73107226866068,157.93200138270333,WLS-SGBM,98.70750086418958
220,160,B,1,213.9526744700129,160.72076407933025,WLS-SGBM,99.54952245041859
220,174,A,1,222.9546970452869,174.0046995044765,WLS-SGBM,99.99729913535833
220,174,B,1,225.64911685701784,175.54294748256692,WLS-SGBM,99.1132485732374
230,127,A,1,243.5975101716238,113.29155373133376,WLS-SGBM,89.20594781994785
245,140,A,1,265.92986362379224,126.5585574549398,WLS-SGBM,90.39896961067129
282,170,A,1,301.84130951209545,178.71783281745513,WLS-SGBM,94.87186304855581
330,103,A,1,338.02490508323706,106.34799450486592,WLS-SGBM,96.74951989818842
330,131,A,1,345.5420796154409,117.20333118599676,WLS-SGBM,89.4681917450357
330,158,A,1,338.0018630903642,159.8020965962091,WLS-SGBM,98.85943253404487
385,168,A,1,425.42224849569686,176.16829689944225,WLS-SGBM,95.13791851223675
395,123,A,1,399.89405428775547,112.1303126736485,WLS-SGBM,91.16285583223456
395,153,A,1,404.18100321211006,148.56512645505316,WLS-SGBM,97.10138983990403
395,167,A,1,409.2667281201182,170.26675176374272,WLS-SGBM,98.04386121931574
457,112,A,1,464.4297627603453,96.7335564511884,WLS-SGBM,86.36924683141822
457,129,A,1,459.5711742413014,115.14829899146466,WLS-SGBM,89.26224728020516
457,173,A,1,485.56775459996703,175.42782473669905,WLS-SGBM,98.59663310017396
492,133,A,1,535.202652396862,125.10667820709206,WLS-SGBM,94.06517158427974
500,143,A,1,551.9442947457256,138.94608757395258,WLS-SGBM,97.16509620556124
538,103,A,1,547.3373300911845,91.7870653342903,WLS-SGBM,89.11365566435953
538,123,A,1,539.2590134320642,112.55152785289104,WLS-SGBM,91.50530719747239
538,140,A,1,554.4800969543172,139.7116465062728,WLS-SGBM,99.7940332187663
620,124,A,1,625.0391714354246,106.44200525711958,WLS-SGBM,85.84032682025773
620,162,A,1,628.529695706591,142.26773400668068,WLS-SGBM,87.81958889301276
620,179,A,1,616.0147045657037,171.3838137254352,WLS-SGBM,95.74514733264536
220,155,A,1,232.2700008412233,167.255914872549,RAFT-STEREO,92.09295814674257
220,155,B,1,245.88270546905773,165.7141895899315,RAFT-STEREO,93.08761961939904
220,160,A,1,230.33367154456027,169.0321297110909,RAFT-STEREO,94.35491893056819
220,160,B,1,228.5071102435152,171.80636243981434,RAFT-STEREO,92.62102347511603
220,174,A,1,238.1225642596476,182.2912356145965,RAFT-STEREO,95.23492206057672
220,174,B,1,237.1436520890024,184.9384593178939,RAFT-STEREO,93.71352912764719
230,127,A,1,246.67439685804456,121.17695300883469,RAFT-STEREO,95.4149236290037
245,140,A,1,260.31455669426566,133.89457050108808,RAFT-STEREO,95.63897892934862
282,170,A,1,298.8914380179566,177.68964049004575,RAFT-STEREO,95.47668206467897
330,103,A,1,326.39889603346666,103.9604269126934,RAFT-STEREO,99.06754668670543
330,131,A,1,333.7416451285428,116.201442688258,RAFT-STEREO,88.70339136508244
330,158,A,1,329.09836299818403,156.0595234178777,RAFT-STEREO,98.77185026447955
385,168,A,1,374.56950083414034,164.25413291486095,RAFT-STEREO,97.77031721122675
395,123,A,1,370.0814924416148,101.1958938418478,RAFT-STEREO,82.2730844242665
395,153,A,1,376.9878506302112,137.5930639824654,RAFT-STEREO,89.93010717808195
395,167,A,1,379.24738107184345,158.35451339819753,RAFT-STEREO,94.82306191508835
457,112,A,1,425.2249272176661,87.8385799720227,RAFT-STEREO,78.42730354644884
457,129,A,1,411.9551494462099,103.59559813406536,RAFT-STEREO,80.3066652202057
457,173,A,1,430.5373092172605,155.2547097210523,RAFT-STEREO,89.74260677517475
492,133,A,1,450.7270300590895,111.64916862561064,RAFT-STEREO,83.9467433275268
500,143,A,1,458.2312121600866,114.63232509600024,RAFT-STEREO,80.16246510209808
538,103,A,1,466.2261456819284,78.65404440768441,RAFT-STEREO,76.36314991037321
538,123,A,1,463.1635573197217,95.20371963609368,RAFT-STEREO,77.40139807812494
538,140,A,1,468.9722031977556,115.96397934713136,RAFT-STEREO,82.83141381937955
620,124,A,1,508.3538886604443,87.79637796482035,RAFT-STEREO,70.8035306167906
620,162,A,1,510.50444357912494,122.2071633828966,RAFT-STEREO,75.43652060672629
620,179,A,1,499.6516747284084,140.71610414527987,RAFT-STEREO,78.61234868451389
220,155,A,1,231.3387280428762,166.87735287149522,SELECTIVE-IGEV,92.33719169580954
220,155,B,1,234.96115526709676,165.33073502444358,SELECTIVE-IGEV,93.3350096616493
220,160,A,1,230.3388995439357,169.55390853206922,SELECTIVE-IGEV,94.02880716745673
220,160,B,1,228.57614336594708,172.28463802812408,SELECTIVE-IGEV,92.32210123242245
220,174,A,1,237.66050532974117,183.31916148991985,SELECTIVE-IGEV,94.64416006326445
220,174,B,1,247.3245714757774,184.1816840875354,SELECTIVE-IGEV,94.14845742095667
230,127,A,1,246.19963685920507,122.00755643255506,SELECTIVE-IGEV,96.068942072878
245,140,A,1,257.47258059553457,132.622728243071,SELECTIVE-IGEV,94.73052017362215
282,170,A,1,297.4541786237997,177.55952009597078,SELECTIVE-IGEV,95.55322347295836
330,103,A,1,325.8148632562137,103.32791965633947,SELECTIVE-IGEV,99.68163140161217
330,131,A,1,335.20673856850897,115.22086958918646,SELECTIVE-IGEV,87.95486228182173
330,158,A,1,329.11127548486144,155.77826797184036,SELECTIVE-IGEV,98.59384048850656
385,168,A,1,378.6790183391328,163.27868450040933,SELECTIVE-IGEV,97.18969315500556
395,123,A,1,370.4810226977243,101.46810239681136,SELECTIVE-IGEV,82.49439219252956
395,153,A,1,376.9416572513368,137.40031051842766,SELECTIVE-IGEV,89.80412452184814
395,167,A,1,379.67639439157193,158.86656382814093,SELECTIVE-IGEV,95.12967893900654
457,112,A,1,425.3036426228538,87.07710487707276,SELECTIVE-IGEV,77.74741506881496
457,129,A,1,412.4054637295579,102.95525062428304,SELECTIVE-IGEV,79.8102718017698
457,173,A,1,428.6516492403664,154.08034952356826,SELECTIVE-IGEV,89.06378585177356
492,133,A,1,442.89840705736543,111.06626655875824,SELECTIVE-IGEV,83.50847109681071
500,143,A,1,454.9345230600124,112.66237811776112,SELECTIVE-IGEV,78.78487980263016
538,103,A,1,467.0766920124561,78.4139346787757,SELECTIVE-IGEV,76.13003366871428
538,123,A,1,464.5799308961194,93.5528954702022,SELECTIVE-IGEV,76.05926460992049
538,140,A,1,463.6778252402911,114.36585989002948,SELECTIVE-IGEV,81.68989992144964
620,124,A,1,508.06200538495045,88.28956633895122,SELECTIVE-IGEV,71.20126317657356
620,162,A,1,510.0351830216041,123.03194606089144,SELECTIVE-IGEV,75.94564571659966
620,179,A,1,499.17762582260553,139.71074422070524,SELECTIVE-IGEV,78.05069509536605
