situation,z_estimation,h_estimation,h_true
400_a,1389.0186193129596,395.14843220067536,1730.0
400_b,1394.5027501723346,375.636358519552,1730.0
400_c,1392.8356246948242,377.6433143161174,1730.0
400_d,1394.572654724121,375.4430146095605,1730.0
400_e,1392.4227676391602,375.72256467303384,1730.0
400_f,1400.0255432128906,377.443191090881,1730.0
400_g,1393.294448852539,372.1385456721621,1730.0
300_a,1210.451171875,446.6113385442581,1730.0
300_b,1211.9306784237133,439.5083769008803,1730.0
300_c,1211.16408404182,443.7830890794836,1730.0
300_d,1214.9266510009766,434.954705923534,1730.0
300_e,1215.6182098388672,441.59466277158003,1730.0
300_f,1216.2341954848346,463.20785753534835,1730.0
300_g,1215.1472024356617,447.8609835169383,1730.0
250_a,1095.6998291015625,478.61696189534814,1730.0
250_b,1102.291238223805,465.9669936093945,1730.0
250_c,1105.2200927734375,476.0499654398277,1730.0
250_d,1102.1968994140625,463.90384439767445,1730.0
250_e,1097.4342184627758,465.64136665077467,1730.0
250_f,1107.4603989545037,465.4709303479748,1730.0
250_g,1100.3435202205883,481.38926644365034,1730.0
600_a,1667.0922923368566,312.4222703258094,1730.0
600_b,1676.2950908954326,308.24861217511,1730.0
600_c,1670.323046875,309.00707826550956,1730.0
600_d,1672.9659946986608,310.94759176146465,1730.0
600_e,1674.7151053292412,313.37389410438277,1730.0
600_f,1680.352677408854,231.75930811374855,1730.0
600_g,1674.1377650669642,315.56211930777704,1730.0
600_h,1676.05180140904,312.71478212716687,1730.0
500_a,1541.9513753255208,339.80593680765685,1730.0
500_b,1546.9864501953125,342.5628469743765,1730.0
500_c,1565.1456486628606,340.09184659515347,1730.0
500_d,1547.0937761579241,341.42550339200614,1730.0
500_e,1556.4413681030273,260.0301019315706,1730.0
500_f,1550.1643817608174,345.0364218762779,1730.0
500_g,1558.0125819614955,340.1443551268134,1730.0
350_a,1288.2103271484375,405.3564600264431,1730.0
350_b,1300.4537856158088,295.57753695133516,1730.0
350_c,1296.417709350586,396.8381493783098,1730.0
350_d,1291.420150756836,400.1607902984825,1730.0
350_e,1294.186164855957,396.1709991970653,1730.0
350_f,1295.313720703125,405.67440405461446,1730.0
350_g,1297.7725471047795,397.5462043560603,1730.0
550_a,1611.967572893415,320.1284228997016,1730.0
550_b,1609.719247000558,322.5616290939263,1730.0
550_c,1614.0674954927886,328.31385595218563,1730.0
550_d,1617.5280990600586,329.39869480487175,1730.0
550_e,1613.542208158053,324.6125952001267,1730.0
550_f,1612.374267578125,323.66565408525105,1730.0
550_g,1633.906876627604,247.9026416857705,1730.0
550_h,1610.6293422154017,337.5041211398349,1730.0
550_i,1612.9047066824776,326.4507976867128,1730.0
200_a,969.8430671691895,522.3359767905838,1730.0
200_b,965.4628475413602,505.4244548080674,1730.0
200_c,969.4176169002758,505.81724806073396,1730.0
200_d,972.181407255285,504.9582027709421,1730.0
200_e,977.4205436706543,509.5391551884628,1730.0
200_f,974.4484037511489,519.3340149695698,1730.0
200_g,974.3864063936121,516.2158318964259,1730.0
450_a,1482.801176183364,354.8416076297609,1730.0
450_b,1479.7901306152344,353.09168127668585,1730.0
450_c,1483.244962565104,355.6146826288672,1730.0
450_d,1481.1209455217634,347.97843843540386,1730.0
450_e,1475.410734049479,361.21610212065593,1730.0
450_f,1480.7336948939733,368.75781203463816,1730.0
450_g,1476.4276841107537,368.0649284344121,1730.0
150_a,790.4021426930148,522.5996783055054,1730.0
150_b,786.8308563232422,547.0004580137422,1730.0
150_c,781.4563179016113,543.8718301087258,1730.0
150_d,788.6417559455423,545.7762910636154,1730.0
150_e,787.1139993106617,539.7889136316276,1730.0
150_f,784.053664263557,547.8387941722282,1730.0
150_g,788.0920589671415,550.3262266662329,1730.0
150_h,780.4974616555606,550.1904304100199,1730.0
150_i,791.4686781939338,541.8211070410014,1730.0
240_a,1091.2598876953125,475.1560402824035,1730.0
240_b,1089.8117268880208,479.18709658428713,1730.0
176_a,886.0969942533053,503.06409199501945,1730.0
160_a,849.6394653320312,521.1642122949494,1730.0
160_b,849.9380885532925,522.0811241866983,1730.0
160_c,866.3565204326923,518.6199290226546,1730.0
204_722_a,964.5365295410156,518.0012636694805,1690.0
722_204_a,1811.3898268479568,277.527250116129,1730.0
204_722_b,968.2474403381348,514.3808276464387,1690.0
722_204_b,1804.4810603215144,275.52161587702517,1730.0
250_350_a,1321.336483226103,420.0293505215511,1730.0
350_250_a,1100.6705537683824,505.1418741948584,1690.0
250_350_b,1100.999942555147,500.96472999232566,1730.0
350_250_b,1322.7913674747242,417.96709025873815,1690.0
176_504_a,885.6120867047991,534.1019385023093,1690.0
504_176_a,1603.1357421875,342.694479842963,1730.0
176_504_b,891.6342468261719,536.6404340432157,1690.0
504_176_b,1605.8983154296875,340.8750140824055,1730.0
150_350_a,785.4936866760254,557.2029639601686,1730.0
350_150_a,1326.5918615004596,424.8818015774461,1690.0
150_350_b,779.7626302083333,463.6293153718011,1730.0
350_150_b,1331.459206973805,410.82946911997544,1690.0
298_604_a,1225.578140258789,452.94537124620524,1690.0
604_298_a,1721.1100387573242,320.2337099529996,1730.0
298_604_b,1227.183937072754,453.8573426650442,1690.0
604_298_b,1736.0456321022727,314.0795441267959,1730.0